source,title,sentiment
Gov Finance,Laba bersih perusahaan meroket tajam pada kuartal ini,Positive
Tech Times,Penjualan kendaraan bermotor anjlok bulan lalu akibat resesi,Negative
IDX Market,Bank Indonesia mempertahankan suku bunga acuan,Neutral
Asia Macro,Investasi asing masuk deras ke pasar modal Indonesia,Positive
Equity Pulse,Inflasi tak terkendali picu kekhawatiran krisis ekonomi,Negative
Jakarta Wire,Emiten teknologi laporkan pendapatan stabil,Neutral
Tech Times,Pemerintah pangkas pajak untuk dorong daya beli masyarakat,Positive
Equity Pulse,Banyak pabrik tutup dan terjadi badai PHK di sektor tekstil,Negative
Equity Pulse,Perusahaan mengumumkan jadwal pembagian dividen,Neutral
Jakarta Wire,IHSG ditutup menghijau setelah rilis data pengangguran yang rendah,Positive
IDX Market,Kinerja ekspor menurun drastis karena melemahnya rupiah,Negative
Jakarta Wire,Rapat umum pemegang saham berjalan tanpa kejutan,Neutral
IDX Market,Akuisisi startup besar bawa angin segar ke sektor digital,Positive
Gov Finance,Kekurangan pasokan chip hambat produksi otomotif,Negative
Tech Times,Volume perdagangan bursa relatif moderat,Neutral
IDX Market,Laba operasional bank BUMN naik 40 persen,Positive
Gov Finance,Skandal korupsi seret harga saham BUMN anjlok,Negative
Jakarta Wire,Regulator rilis draf aturan baru terkait bursa karbon,Neutral
IDX Market,Optimisme konsumen meningkat tajam menyambut pemilu,Positive
IDX Market,Suku bunga bank sentral AS merangkak naik tekan IHSG,Negative
Asia Macro,Harga minyak mentah dunia bergerak mendatar,Neutral
Tech Times,Perusahaan rilis laporan keuangan yang lebih baik dari ekspektasi analis,Positive
Tech Times,Gagal bayar obligasi perusahaan properti bikin panik investor,Negative
Tech Times,Libur bursa menyambut hari raya,Neutral
Equity Pulse,Bank cetak rekor keuntungan tertinggi dalam sejarah,Positive
Gov Finance,Perang dagang kembali memanas ganggu rantai pasok global,Negative
IDX Market,Menteri keuangan sebut pertumbuhan ekonomi sesuai target,Neutral
Jakarta Wire,Bursa saham rebound di akhir sesi,Positive
Gov Finance,Ketidakpastian politik hancurkan sentimen pasar,Negative
Gov Finance,Sidang paripurna bahas RAPBN,Neutral
IDX Market,Arus modal asing catat rekor pembelian bersih,Positive
Tech Times,Pajak ekspor komoditas memukul laba perusahaan tambang,Negative
Equity Pulse,Bursa efek umumkan perubahan jam perdagangan,Neutral
Jakarta Wire,Kinerja luar biasa dari saham-saham perbankan raksasa,Positive
Tech Times,Kerugian kuartal ini lebih buruk dari prediksi pasar,Negative
Tech Times,OJK pantau pergerakan harga saham dengan ketat,Neutral
Jakarta Wire,Investor borong saham blue chip di tengah diskon besar,Positive
Equity Pulse,Pemutusan hubungan kerja massal landa perusahaan ritel,Negative
IDX Market,Perusahaan ganti susunan direksi baru,Neutral
Jakarta Wire,Sektor properti bangkit akibat insentif PPN,Positive
Equity Pulse,Penurunan harga batu bara tekan IHSG,Negative
Equity Pulse,Emiten baru melantai di bursa dengan harga stagnan,Neutral
Jakarta Wire,Laba bersih melonjak drastis manajemen proyeksikan pertumbuhan,Positive
Asia Macro,Skandal pelaporan keuangan akibatkan suspensi perdagangan,Negative
Jakarta Wire,Bank umumkan rencana buyback saham,Neutral
Tech Times,Sentimen positif mengalir dari perbaikan ekonomi global,Positive
Equity Pulse,Beban operasional bengkak gerus marjin keuntungan,Negative
Jakarta Wire,Pergerakan indeks stabil sepanjang hari,Neutral
Jakarta Wire,Bank earnings beat expectations and investors show optimism,Positive
Jakarta Wire,Currency weakens as inflation surprises the market,Negative
Gov Finance,Central bank keeps rates unchanged in scheduled meeting,Neutral
Asia Macro,Infrastructure spending plan lifts construction stocks,Positive
IDX Market,Exporters face margin pressure from FX volatility,Negative
Gov Finance,Government reiterates medium term fiscal targets,Neutral
Tech Times,Tech sector rebounds after strong quarterly guidance,Positive
Tech Times,Energy prices fall weighing on commodity producers,Negative
Equity Pulse,Market trades sideways ahead of policy announcement,Neutral
